idH,idI,rep,val,time
ANT_VND2,C7p72k61L280R280_1,4,7,9.340423822402954
ANT2_VND,C7p72k61L280R280_1,4,6,9.336637020111084
ANT2_TS,C7p72k61L280R280_1,4,6,9.341383934020996
ANT2_VND2,C7p72k61L280R280_1,4,6,9.338395595550535
GRASP_RG_TS,C7p72k61L280R280_1,5,6,9.340497970581056
KIEst,C7p72k61L280R280_1,6,7,0.6562769412994385
GRASP_RG_VND,C7p72k61L280R280_1,5,7,9.34248185157776
GRASP_RG_VND2,C7p72k61L280R280_1,5,6,9.360226154327393
ANT_TS,C7p72k61L280R280_1,5,6,9.34158968925476
ANT_VND,C7p72k61L280R280_1,5,6,9.337261199951172
ANT_VND2,C7p72k61L280R280_1,5,6,9.340811729431152
ANT2_TS,C7p72k61L280R280_1,5,6,9.343068599700928
ANT2_VND,C7p72k61L280R280_1,5,6,9.338799476623535
ANT2_VND2,C7p72k61L280R280_1,5,6,9.341060638427734
GRASP_RG_TS,C7p72k61L280R280_1,6,6,9.368863821029665
GRASP_RG_VND,C7p72k61L280R280_1,6,6,9.374907970428469
GRASP_RG_VND2,C7p72k61L280R280_1,6,7,9.355127096176147
KIEst,C7p72k61L280R280_1,7,7,0.7079160213470459
ANT_TS,C7p72k61L280R280_1,6,6,9.341879606246948
ANT_VND,C7p72k61L280R280_1,6,6,9.33608865737915
ANT_VND2,C7p72k61L280R280_1,6,6,9.339712142944336
ANT2_TS,C7p72k61L280R280_1,6,6,9.341603994369509
ANT2_VND,C7p72k61L280R280_1,6,6,9.335588216781616
ANT2_VND2,C7p72k61L280R280_1,6,6,9.33959412574768
GRASP_RG_TS,C7p72k61L280R280_1,7,7,9.333598136901855
KIEst,C7p72k61L280R280_1,8,7,0.6528263092041016
ANT_TS,C7p72k61L280R280_1,7,6,9.341592788696287
GRASP_RG_VND,C7p72k61L280R280_1,7,7,9.378904342651367
GRASP_RG_VND2,C7p72k61L280R280_1,7,6,9.365126371383669
ANT_VND,C7p72k61L280R280_1,7,6,9.33700156211853
ANT_VND2,C7p72k61L280R280_1,7,7,9.341017246246338
ANT2_TS,C7p72k61L280R280_1,7,7,9.337047815322876
ANT2_VND,C7p72k61L280R280_1,7,6,9.33827781677246
ANT2_VND2,C7p72k61L280R280_1,7,6,9.34028387069702
GRASP_RG_TS,C7p72k61L280R280_1,8,6,9.334970712661743
GRASP_RG_VND,C7p72k61L280R280_1,8,7,9.34878396987915
KIEst,C7p72k61L280R280_1,9,7,0.6966457366943359
GRASP_RG_VND2,C7p72k61L280R280_1,8,7,9.337052583694458
ANT_VND,C7p72k61L280R280_1,8,6,9.337060928344728
ANT_TS,C7p72k61L280R280_1,8,6,9.343076944351196
ANT_VND2,C7p72k61L280R280_1,8,6,9.339099407196043
ANT2_TS,C7p72k61L280R280_1,8,6,9.341135501861572
ANT2_VND,C7p72k61L280R280_1,8,6,9.337162733078005
ANT2_VND2,C7p72k61L280R280_1,8,6,9.340685844421388
KIEst,C5p58k92L200R160_1,0,1,0.5759975910186768
GRASP_RG_TS,C7p72k61L280R280_1,9,7,9.336312294006348
GRASP_RG_VND,C7p72k61L280R280_1,9,6,9.342318773269652
ANT_TS,C7p72k61L280R280_1,9,6,9.342039585113524
GRASP_RG_VND2,C7p72k61L280R280_1,9,7,9.37386393547058
ANT_VND,C7p72k61L280R280_1,9,7,9.336282968521118
ANT_VND2,C7p72k61L280R280_1,9,6,9.340290784835815
ANT2_TS,C7p72k61L280R280_1,9,6,9.33755087852478
ANT2_VND,C7p72k61L280R280_1,9,6,9.337241411209106
ANT2_VND2,C7p72k61L280R280_1,9,6,9.34295916557312
KIEst,C5p58k92L200R160_1,1,1,0.5069277286529541
GRASP_RG_TS,C5p58k92L200R160_1,0,1,6.684996604919434
GRASP_RG_VND,C5p58k92L200R160_1,0,2,6.682101249694824
GRASP_RG_VND2,C5p58k92L200R160_1,0,1,6.6938793659210205
ANT_VND,C5p58k92L200R160_1,0,1,6.667957782745361
ANT_TS,C5p58k92L200R160_1,0,1,6.6799938678741455
ANT_VND2,C5p58k92L200R160_1,0,1,6.674669981002808
ANT2_TS,C5p58k92L200R160_1,0,1,6.677383899688721
ANT2_VND,C5p58k92L200R160_1,0,1,6.669762372970581
ANT2_VND2,C5p58k92L200R160_1,0,1,6.670654535293579
KIEst,C5p58k92L200R160_1,2,1,0.619220495223999
GRASP_RG_TS,C5p58k92L200R160_1,1,1,6.667159557342529
GRASP_RG_VND,C5p58k92L200R160_1,1,2,6.692041158676148
GRASP_RG_VND2,C5p58k92L200R160_1,1,1,6.671378135681152
ANT_TS,C5p58k92L200R160_1,1,1,6.675182104110718
ANT_VND,C5p58k92L200R160_1,1,1,6.669100522994995
ANT_VND2,C5p58k92L200R160_1,1,1,6.672441005706787
ANT2_VND,C5p58k92L200R160_1,1,1,6.667033910751343
ANT2_TS,C5p58k92L200R160_1,1,1,6.677989721298218
ANT2_VND2,C5p58k92L200R160_1,1,1,6.67573881149292
KIEst,C5p58k92L200R160_1,3,1,0.63334059715271
GRASP_RG_TS,C5p58k92L200R160_1,2,1,6.671538352966309
