idH,idArg,idI,rep,val,time
ANT_VND,"(1, 1.2, 0.1, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.667989730834961
ANT_VND,"(1, 1.2, 0.1, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.667983055114746
ANT_VND,"(1, 1.2, 0.1, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.66795539855957
ANT_VND,"(1, 1.2, 0.1, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.668186187744141
ANT_VND,"(1, 1.2, 0.1, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.6714136600494385
ANT_VND,"(1, 1.2, 0.1, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.675400495529175
ANT_VND,"(1, 1.2, 0.1, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.6679980754852295
ANT_VND,"(1, 1.2, 0.1, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667996644973755
ANT_VND,"(1, 1.2, 0.1, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667998552322388
ANT_VND,"(1, 1.2, 0.3, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667998552322388
ANT_VND,"(1, 1.2, 0.3, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,2,4.667999744415283
ANT_VND,"(1, 1.2, 0.3, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667999267578125
ANT_VND,"(1, 1.2, 0.3, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.66799783706665
ANT_VND,"(1, 1.2, 0.3, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.66700005531311
ANT_VND,"(1, 1.2, 0.3, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667996644973755
ANT_VND,"(1, 1.2, 0.3, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.667997598648071
ANT_VND,"(1, 1.2, 0.3, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.66897988319397
ANT_VND,"(1, 1.2, 0.3, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.671370267868042
ANT_VND,"(1, 1.2, 0.5, 0.8, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.669374227523804
ANT_VND,"(1, 1.2, 0.5, 0.7, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.673378229141235
ANT_VND,"(1, 1.2, 0.5, 0.7, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.673378229141235
ANT_VND,"(1, 1.2, 0.5, 0.7, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.67578387260437
ANT_VND,"(1, 1.2, 0.5, 0.8, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.6677892208099365
ANT_VND,"(1, 1.2, 0.5, 0.8, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.670813083648682
ANT_VND,"(1, 1.2, 0.5, 0.9, 0.1, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.672357082366943
ANT_VND,"(1, 1.2, 0.5, 0.9, 0.2, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.6693713665008545
ANT_VND,"(1, 1.2, 0.5, 0.9, 0.3, 5, 10000, 10)",C9p88k116L140R112_1,0,3,4.668132781982422
